#,ZONA,ORDEN,NUM. ESC.,DEPARTAMENTO,CURSO,DIVISION,TURNO,HORAS,MA,MATERIA,DESI/ORI,BI
29,0.5,173740,4-039,MAIPU,0,0,M,0,20,M.E.P. (INFORMÁTICA),R0338/08,CREA 28
30,0.7,202333,4-041,LAVALLE,3,4,M,3,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,COTC 15
31,0.7,202334,4-041,LAVALLE,3,4,M,5,82,PROCESAMIENTO DIGITAL,R1484/89,COTC 15
32,0.7,246658,4-041,LAVALLE,4,4,T,4,76,FUNCIONAMIENTO DE SISTEMAS DIGITALES,R0050/16,CREA 01
33,0.7,263092,4-041,LAVALLE,5,4,T,4,78,ARQUITECTURA DE HARDWARE,R0084/17,CREA 10
34,0.7,263093,4-041,LAVALLE,5,4,T,3,79,SISTEMAS DIGITALES Y REDES,R0084/17,CREA 10
35,0.7,263094,4-041,LAVALLE,5,4,T,4,80,PROGRAMACIÓN,R0084/17,CREA 10
36,0.7,263095,4-041,LAVALLE,5,4,T,3,81,DESARROLLO DE SISTEMAS DIGITALES,R0084/17,CREA 10
37,0.7,208119,4-042,LA PAZ,3,2,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,COTA 15
38,0.7,208131,4-042,LA PAZ,3,3,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,COTA 15
39,1,50838,4-044,SAN RAFAEL,0,0,A,0,20,M.E.P. (INFORMÁTICA),R1484/89,COTA 15
40,0.7,203522,4-045,SAN CARLOS,3,1,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R2208/18,RENU 14
41,0.7,203559,4-045,SAN CARLOS,3,2,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R2208/18,RENU 14
42,0.7,203631,4-045,SAN CARLOS,3,3,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R2208/18,RENU 14
43,0,202529,4-047,LAS HERAS,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R2208/18,RENU 16
44,0,202560,4-047,LAS HERAS,3,2,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R3105/16,RENU 01
45,0,240810,4-047,LAS HERAS,4,2,T,3,278,CIENCIAS NATURALES Y TIC (TIC),R2388/17,RENU 11
46,0.5,204109,4-051,GODOY CRUZ,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,TRAS 01
